subject,predicate,object,source,paper_id,chunk_id
X-tremeGENE HP,uses,DNA transfection of HEK293 cells,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0176,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0176
Goat anti-rabbit Alexa-488,detects,rabbit Anti-Flag antibody,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0176,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0176
LPCAT1-TERT fusion transcripts,is expressed in,epithelioid trophoblastic tumor,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0177,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0177
RNA-seq,detects,fusion transcripts,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0177,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0177
Zeiss LSM 800 confocal microscope,uses,image acquisition,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0177,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0177
ImageJ,evaluates,microscopy images,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0177,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0177
RNA-seq,detects,fusion transcripts,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0178,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0178
LPCAT1-TERT fusions,is associated with,epithelioid trophoblastic tumor,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0178,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0178
epithelioid trophoblastic tumor,is a type of,trophoblastic tumor,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0178,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0178
chemotherapy,treats,epithelioid trophoblastic tumor,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0178,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0178
epithelioid trophoblastic tumor,builds,metastases,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0178,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0178
LPCAT1-TERT fusion transcripts,is recurrent in,epithelioid trophoblastic tumor,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0179,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0179
RNA-seq,detects,LPCAT1-TERT fusion transcripts,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0179,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0179
LPCAT1-TERT,is part of,165kb genomic region,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0179,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0179
LPCAT1-TERT fusions,produces,multiple splice variants,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0179,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0179
LPCAT1-TERT fusions,activates,cell growth,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0179,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0179
LPCAT1-TERT fusions,identifies,epithelioid trophoblastic tumor,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0180,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0180
RNA-seq,detects,LPCAT1-TERT fusions,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0180,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0180
LPCAT1-TERT fusions,is absent from,normal and tumor tissue databases,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0180,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0180
Copy-number changes,causes,LPCAT1-TERT fusions,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0180,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0180
Copy-number changes,causes,TERT upregulation,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0180,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0180
Genomic deletions,causes,LPCAT1-TERT fusions,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0180,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0180
genomic deletions,causes,LPCAT1-TERT fusions,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0181,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0181
LPCAT1-TERT fusion transcripts,identifies,epithelioid trophoblastic tumor,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0181,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0181
TERT expression levels,is expressed in,epithelioid trophoblastic tumor,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0181,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0181
LPCAT1-TERT fusion transcript isoforms,is produced by,epithelioid trophoblastic tumor cases,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0181,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0181
LPCAT1,is part of,TERT,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0181,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0181
LPCAT1 gene expression,is expressed in,epithelioid trophoblastic tumor,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0182,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0182
TERT expression,is expressed in,normal uterine and ovarian tissue,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0182,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0182
LPCAT1-TERT fusion,is a type of,gene fusion,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0182,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0182
LPCAT1-TERT fusion,is expressed in,metastatic ETT-1 tumor,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0182,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0182
LPCAT1-TERT fusion,regulates,cell growth,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0182,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0182
TERT promoter mutations,is absent from,gestational trophoblastic disease samples,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0182,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0182
LPCAT1-TERT fusion protein,activates,cell growth,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0183,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0183
LPCAT1-TERT fusion protein,is expressed in,nucleus,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0183,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0183
pcDNA-LPCAT1-TERT-Flag cells,demonstrates,cell viability,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0183,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0183
Western Blot,confirms,LPCAT1-TERT fusion protein,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0183,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0183
TERT,is expressed in,nucleus,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0183,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0183
LPCAT1,is expressed in,cytosol,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0183,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0183
LPCAT1-TERT fusion protein,is expressed in,293T cells,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0184,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0184
TERT,is expressed in,nucleus,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0184,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0184
LPCAT1,is expressed in,cytosol,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0184,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0184
LPCAT1-TERT fusion protein,is expressed in,nucleus,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0184,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0184
LPCAT1-TERT fusion transcript,is associated with,epithelioid trophoblastic tumor,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0184,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0184
LPCAT1-TERT fusion transcript,regulates,cell growth,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0184,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0184
LPCAT1-TERT fusion transcript,is expressed in,ETT-1 primary tumor,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0185,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0185
LPCAT1-TERT fusion transcript,is absent from,adjacent normal tissue,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0185,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0185
LPCAT1-TERT fusion,activates,cell growth,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0185,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0185
LPCAT1-TERT fusion,is a type of,chimeric transcript,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0185,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0185
TERT,activates,Wnt signaling,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0185,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0185
LPCAT1 promoter,regulates,TERT exons,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0185,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0185
LPCAT1,is associated with,epithelioid trophoblastic tumor,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0186,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0186
TERT fusions,activates,TERT,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0186,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0186
TERT promoter mutation,causes,TERT upregulation,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0186,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0186
LPCAT1-TERT fusion,regulates,cell growth,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0186,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0186
Telomerase activity,is associated with,persistent or metastatic disease,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0186,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0186
LPCAT1-TERT fusion,is a type of,TERT activation mechanism,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0186,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0186
LPCAT1-TERT fusions,is associated with,epithelioid trophoblastic tumor,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0187,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0187
LPCAT1-TERT fusions,activates,cell growth,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0187,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0187
TERT upregulation,causes,copy number,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0187,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0187
LPCAT1-TERT fusion,provides,diagnostic certainty,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0187,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0187
aneuploidy,is associated with,epithelioid trophoblastic tumor,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0187,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0187
LPCAT1-TERT fusion,is a target for,novel therapeutic agents,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0187,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0187
LPCAT1-TERT fusion transcripts,is associated with,epithelioid trophoblastic tumor,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0188,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0188
LPCAT1-TERT fusion transcripts,activates,cell growth,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0188,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0188
TopHat Fusion,uses,default filtering settings,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0188,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0188
TERT,is expressed in,epithelioid trophoblastic tumor,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0188,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0188
chromosomal microarray,detects,LPCAT1-TERT fusion,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0188,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0188
OncoScan CNV Plus,uses,chromosomal microarray,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0188,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0188
LPCAT1-TERT fusion,is associated with,epithelioid trophoblastic tumor,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0189,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0189
OncoScan CNV Plus,uses,chromosomal microarray,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0189,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0189
OncoScan CNV Plus,evaluates,copy number alterations,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0189,LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021),LPCAT1-TERT fusions are uniquely recurrent in epithelioid trophoblastic tumors and positively regulate cell growth (2021)_chunk0189
